path,tech,agents
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frb_120,gerhid,Angostura;Blanco;Canutillar;Chacabuquito;Chiburgo;Colbun;Hornito;Juncal;La_Mina;LosQuilos;Machicura;MauleB;MauleG;Quilleco;Rucue;SanClemente;SanIgnacio
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frb_120,gerter,CAR.SMARIA;DIE.CANDEL_1;DIE.CANDEL_2;DIE.LPINOS;DIE.NEHUENC3;GNL.Nehu2GAR;GNL.Nehuenc1
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frb_120,gergnd,EOL.HORIZONN;EOL.HORIZONS;SOL.DAS
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frb_120,gerbat,BAT.CELDASOL;BAT.DAS;BAT.DAS_2_ED
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frh_120,gerhid,Angostura;Blanco;Canutillar;Chacabuquito;Chiburgo;Colbun;Hornito;Juncal;La_Mina;LosQuilos;Machicura;MauleB;MauleG;Quilleco;Rucue;SanClemente;SanIgnacio
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frh_120,gerter,CAR.SMARIA;DIE.CANDEL_1;DIE.CANDEL_2;DIE.LPINOS;DIE.NEHUENC3;GNL.Nehu2GAR;GNL.Nehuenc1
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frh_120,gergnd,EOL.HORIZONN;EOL.HORIZONS;SOL.DAS
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frh_120,gerbat,BAT.CELDASOL;BAT.DAS;BAT.DAS_2_ED
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frh_Bat120,gerhid,Angostura;Blanco;Canutillar;Chacabuquito;Chiburgo;Colbun;Hornito;Juncal;La_Mina;LosQuilos;Machicura;MauleB;MauleG;Quilleco;Rucue;SanClemente;SanIgnacio
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frh_Bat120,gerter,CAR.SMARIA;DIE.CANDEL_1;DIE.CANDEL_2;DIE.LPINOS;DIE.NEHUENC3;GNL.Nehu2GAR;GNL.Nehuenc1
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frh_Bat120,gergnd,EOL.HORIZONN;EOL.HORIZONS;SOL.DAS
C:\Users\mamaro\OneDrive - Colbun S.A\jobs\2026\02.BombeoMaule\sddp\2026-01Frh_Bat120,gerbat,BAT.CELDASOL;BAT.DAS;BAT.DAS_2_ED;BAT.Maule
